tools	ploidy_het_cov	ploidy_het	ploidy	heterozygosityRates	coverage	accuracy	error rate	missing rate	reads accuracy rate	nHaplotigs per haplotype	nHaplotigs	nHaplotypes	time	RSS	VMS
nPhase	(3,0.5,10X)	(3,0.5)	3	0.5	10	92.6	4.01	3.4	96.3	4.2	213	51	1389.993025	107445403648 	148145491968 
nPhase	(3,0.5,20X)	(3,0.5)	3	0.5	20	93.18	3.56	3.27	95.91	3.2	163	51	4799.141387	207612596224 	248629551104 
nPhase	(3,1,10X)	(3,1)	3	1	10	93.26	4.01	2.73	97.05	4.6	237	51	2212.470739	185101516800 	225764491264 
nPhase	(3,1,20X)	(3,1)	3	1	20	94.48	3.38	2.14	97.24	3.2	165	51	8894.367328	373263237120 	414071492608 
nPhase	(4,0.05,10X)	(4,0.05)	4	0.05	10	67.86	8.83	23.31	78.2	6.8	462	68	681.4887152	46770978816 	88173150208 
nPhase	(4,0.05,20X)	(4,0.05)	4	0.05	20	69.13	9.61	21.25	76.51	4.1	277	68	1173.816878	91363889152 	132646662144 
nPhase	(4,0.1,10X)	(4,0.1)	4	0.1	10	75.33	7.91	16.76	80.16	4.8	329	68	1007.002571	57898692608 	99235000320 
nPhase	(4,0.1,20X)	(4,0.1)	4	0.1	20	76.31	9.45	14.25	78.9	3.4	231	68	2462.141254	113815506944 	155049226240 
nPhase	(4,0.5,10X)	(4,0.5)	4	0.5	10	87.84	4.21	7.95	86.8	3.5	240	68	3071.58105	142575259648 	182853562368 
nPhase	(4,0.5,20X)	(4,0.5)	4	0.5	20	87.16	4.5	8.35	85.77	2.6	175	68	9759.62454	284336066560 	324650774528 
nPhase	(4,1,10X)	(4,1)	4	1	10	91.77	3.83	4.4	92.07	3.6	246	68	4698.27182	261143601152 	301800267776 
nPhase	(4,1,20X)	(4,1)	4	1	20	92.44	3.22	4.34	88.08	2.3	157	68	15969.48442	532289589248 	571330117632 
flopp	(3,0.05,10X)	(3,0.05)	3	0.05	10	62.57	27.49	9.94	30.37	1	51	51	15.34713817	499875840 	1636868096 
